name,reclat,reclong,mass (g),year,family
Cabin Creek,35.5,-93.5,48500.0,1886.0,Iron meteorite
Cacak,43.83889,20.33333,212.0,1919.0,Other / Ungrouped
Cali,3.405,-76.51,478.0,2007.0,Chondrite — Ordinary
Calivo,11.75,122.33333,2400.0,1916.0,Other / Ungrouped
Campos Sales,-7.03333,-40.16667,23680.0,1991.0,Chondrite — Ordinary
Çanakkale,39.8,26.6,4000.0,1964.0,Chondrite — Ordinary
Cañellas,41.25,1.66667,945.0,1861.0,Chondrite — Ordinary
Cangas de Onis,43.38333,-5.15,34000.0,1866.0,Chondrite — Ordinary
Canon City,38.47028,-105.24139,1400.0,1973.0,Chondrite — Ordinary
Cape Girardeau,37.26667,-89.58333,2300.0,1846.0,Chondrite — Ordinary
Capilla del Monte,-30.88333,-64.55,750.0,1934.0,Chondrite — Ordinary
Carancas,-16.66444,-69.04389,342.0,2007.0,Chondrite — Ordinary
Caratash,38.5,27.0,8.0,1902.0,Chondrite — Ordinary
Castalia,36.08333,-78.06667,7300.0,1874.0,Chondrite — Ordinary
Castel Berardenga,43.35,11.5,,1791.0,Other / Ungrouped
Castine,44.38333,-68.75,94.0,1848.0,Chondrite — Ordinary
Castrovillari,39.8,16.2,15000.0,1583.0,Other / Ungrouped
Caswell County,36.5,-79.25,1360.0,1810.0,Other / Ungrouped
Ceniceros,26.46667,-105.23333,1025.0,1988.0,Chondrite — Ordinary
Centerville,43.2,-96.91667,45.6,1956.0,Chondrite — Ordinary
Cereseto,45.08333,8.3,6460.0,1840.0,Chondrite — Ordinary
Chadong,28.53333,109.31667,3700.0,1998.0,Chondrite — Ordinary
Chail,25.36667,81.66667,0.5,1814.0,Chondrite — Ordinary
Chainpur,25.85,83.48333,8200.0,1907.0,Chondrite — Ordinary
Chajari,-30.78333,-58.05,18300.0,1933.0,Chondrite — Ordinary
Chandakapur,20.26667,76.01667,8800.0,1838.0,Chondrite — Ordinary
Chandpur,27.28333,79.05,1100.0,1885.0,Chondrite — Ordinary
Changde,29.08333,111.75,1810.0,1977.0,Chondrite — Ordinary
Chantonnay,46.68333,1.05,31500.0,1812.0,Chondrite — Ordinary
Charlotte,36.16667,-87.33333,4300.0,1835.0,Iron meteorite
Charsonville,47.93333,1.56667,27000.0,1810.0,Chondrite — Ordinary
Charwallas,29.48333,75.5,12000.0,1834.0,Chondrite — Ordinary
Chassigny,47.71667,5.36667,4000.0,1815.0,Achondrite — Martian
Château-Renard,47.93333,2.91667,30000.0,1841.0,Chondrite — Ordinary
Chaves,41.93333,-7.46667,2945.0,1925.0,Achondrite — HED
Chela,-3.66667,32.5,2936.0,1988.0,Chondrite — Ordinary
Chelyabinsk,54.81667,61.11667,100000.0,2013.0,Chondrite — Ordinary
Chergach ,23.69639,-5.01472,100000.0,2007.0,Chondrite — Ordinary
Chernyi Bor,53.7,30.1,6000.0,1964.0,Chondrite — Ordinary
