name,reclat,reclong,mass (g),year,family
Queen Alexandra Range 99820,-84.0,168.0,38.2,1999.0,Chondrite — Ordinary
Grove Mountains 054465,-72.773333,75.328611,3.01,2006.0,Chondrite — Ordinary
Yamato 793527,-71.5,35.66667,3.94,1979.0,Chondrite — Ordinary
Miller Range 07472,0.0,0.0,16.1,2007.0,Chondrite — Ordinary
Allan Hills A77102,-76.71667,159.66667,12.3,1977.0,Chondrite — Ordinary
Lewis Cliff 86533,-84.26756,161.3631,15.7,1986.0,Chondrite — Ordinary
Asuka 880729,-72.0,26.0,239.61,1988.0,Chondrite — Ordinary
Jiddat al Harasis 447,19.61665,56.42307,3.601,2007.0,Chondrite — Ordinary
Elephant Moraine 90909,-76.26825,156.49748,6.4,1990.0,Chondrite — Ordinary
Grove Mountains 99012,-73.08333,75.2,5.36,2000.0,Chondrite — Ordinary
Asuka 881207,-72.0,26.0,20.08,1988.0,Chondrite — Ordinary
Allan Hills 94013,-76.71667,159.66667,10.6,1994.0,Chondrite — Ordinary
Dominion Range 08312,0.0,0.0,12.9,2008.0,Chondrite — Ordinary
Sayh al Uhaymir 538,21.10707,57.04363,154.0,2011.0,Chondrite — Ordinary
Yamato 792530,-71.5,35.66667,53.92,1979.0,Chondrite — Ordinary
El Djouf 007,23.66667,-1.81667,4500.0,1989.0,Chondrite — Ordinary
Yamato 86172,-71.5,35.66667,1.16,1986.0,Chondrite — Ordinary
Jiddat al Harasis 739,19.83278,56.43583,587.0,,Chondrite — Ordinary
Allan Hills A78061,-76.71667,159.66667,1.64,1977.0,Chondrite — Ordinary
Los Sauces,-29.41667,-66.85,997000.0,1937.0,Iron meteorite
Lavras do Sul,-30.8,-53.9,1000.0,1985.0,Chondrite — Ordinary
Lewis Cliff 86156,-84.25819,161.39785,24.5,1986.0,Chondrite — Ordinary
Northwest Africa 7504,0.0,0.0,1680.0,2012.0,Chondrite — Ordinary
MacAlpine Hills 88118,-84.21667,160.5,1142.3,1988.0,Chondrite — Ordinary
Yamato 983286,0.0,0.0,309.0,1998.0,Chondrite — Ordinary
Yamato 981133,0.0,0.0,46.87,1998.0,Chondrite — Ordinary
Yamato 791954,-71.5,35.66667,1.68,1979.0,Chondrite — Ordinary
Allan Hills 85102,-76.84062,156.3701,12.6,1985.0,Chondrite — Ordinary
