key,the_name,country,the_rank,arwu_rank,cwur_rank,qs_rank,institution,country_code,works_count,cited_by_count,h_index,two_yr_mean_citedness,oa_rank_works,oa_rank_cites,oa_rank_hindex
tokyo,University of Tokyo,Japan,23,21,13,23,The University of Tokyo,JP,505805,46343928,1386,3.946493622949376,8,19,37
tokyo institute technology,Tokyo Institute of Technology,Japan,141,151,109,55,Tokyo Institute of Technology,JP,164964,9789753,665,3.3812990720913634,165,227,304
toronto,University of Toronto,Canada,20,25,32,34,University of Toronto,CA,551833,58139277,1771,4.248826372608607,5,9,15
tsinghua,Tsinghua University,China,49,101,78,14,Tsinghua University,CN,373704,32995848,1177,6.5260988189393,23,32,66
tsukuba,University of Tsukuba,Japan,301,201,262,312,University of Tsukuba,JP,135604,9308494,672,2.3944444444444444,226,239,300
tufts,Tufts University,United States of America,88,101,95,312,Tufts University,US,117021,12789781,980,2.811953400877859,273,167,121
tulane,Tulane University,United States of America,301,301,272,471,Tulane University,US,84151,7462915,706,2.8621849493228093,425,302,274
turin,University of Turin,Italy,251,151,221,475,University of Turin,IT,143189,11634272,757,3.124418993225385,207,190,233
turku,University of Turku,Finland,351,301,383,291,University of Turku,FI,91829,6474242,604,2.6001857510935347,375,346,362
twente,University of Twente,Netherlands,201,301,408,212,University of Twente,NL,89058,5873798,618,2.8089838811630847,390,371,349
umea,Umeå University,Sweden,351,301,287,369,Umeå University,SE,84612,7518353,731,2.681086519114688,421,296,256
universite libre bruxelles,Université Libre de Bruxelles,Belgium,201,101,163,210,Université Libre de Bruxelles,BE,101772,9177026,828,3.609400006532319,324,247,193
uppsala,Uppsala University,Sweden,98,61,124,128,Uppsala University,SE,203418,18080770,1036,3.204513071490521,113,111,104
